Barcode,Company Barcode,Branch Name,Department,Brand Name,Product Name,Item ID,Item,HSN Code,Party Name,City Name,Design No.,Color,Size,Qty,Sales Rate,Day Book,Inward Vch No.,Inward Vch Date,Pur. Rate,Pur.Net Rate,PurCost. Rate,Mark Up %,Mark Down %
01260901576,511K1117Q81052,HO,ACCESSORIES,Amitabh Malhotra (Or),POTLI BAG_12%,1113,POTLI BAG_12%,6204,AMITABH MALHOTRA (OR),,AM-191-,.,F,1,63,OPENING STOCK,00001,10/25/2023,1.00,1.00,1.00,6200.00,98.41
01260901605,52082117Q91752,HO,ACCESSORIES,Outhouse (Or),EARINGS,118,EARINGS,7113,OUTHOUSE (OR),,OHDM22EA102 -,.,F,1,17250,OPENING STOCK,00001,10/27/2023,1.00,1.00,1.00,1724900.00,99.99
01260901703,561F7112193A70,HO,WESTERN,Ozeqo (Sor),DRESS,1153,DRESS,62040000,OZEQO (SOR),,ROSE RED,.,M,1,30344,OPENING STOCK,00001,4/5/2025,1.00,1.00,1.00,3034300.00,100.00
01260901702,561F7111679D76,HO,WESTERN,Ozeqo (Sor),DRESS,1153,DRESS,6204,OZEQO (SOR),,MARRY-OFF WHITE,.,S,1,11000,OPENING STOCK,00001,11/4/2025,1.00,1.00,1.00,1099900.00,99.99
012609011248,841F2127GCJO68,HO,WESTERN,Shree,KURTA DRESS,1161,KURTA DRESS,6204,SHREE,,200-TOP-01,.,FS,1,3500,OPENING STOCK,00001,3/6/2026,1.00,1.00,1.00,349900.00,99.97
012609011477,884K411700II88,HO,N,Am By Anita Mittal,SUIT SET_5%,1139,SUIT SET_5%,62045200,AM BY ANITA MITTAL,,SABA-MI,.,F,3,118,OPENING STOCK,00001,6/2/2026,1.00,1.00,1.00,11700.00,99.15
01260901697,558I4117U6RR88,HO,N,Posha (Sor ),SET,1136,SET,85176960,POSHA (SOR ),,PRS/OTTS/218,.,F,1,17499,OPENING STOCK,00001,6/22/2026,1.00,1.00,1.00,1749800.00,99.99
012608001808,,HO,WESTERN,ANERA BY ASMITA,DRESS,1153,DRESS,620443,ANERA BY ASMITA VERMA,KANPUR NAGAR,SUNDOWN DRESS,.,L,1,15000,INWARD CHALLAN,00002,8/9/2026,8262.71,8262.71,9750.00,81.54,44.92
012608001828,,HO,WESTERN,SAINY GARG (SOR),PANTS,1166,PANTS,6204,SAINY,SURAJPUR,SAINY-11-IVORY LUXE PANT-M,.,M,1,4000,INWARD CHALLAN,00003,8/12/2026,2600.00,2600.00,3068.00,53.85,35.00
012608001793,,HO,WESTERN,MEGHA GARG CLOTHING,JUMP SUIT,1157,JUMP SUIT,620429,MEGHA GARG CLOTHING (SOR),KOLKATA,HOMG-JS-BLK-2601,BLACK,FS,1,17000,INWARD CHALLAN,00001,8/22/2026,14406.78,9364.41,11050.00,18.00,15.25
012609001842,,HO,WESTERN,Anvita Jain,KAFTTAN,1159,KAFTTAN,6101,ANVITA JAIN LABEL LLP,INDORE,AJ23-05,.,FS,1,24000,INWARD CHALLAN,00004,9/8/2026,13220.00,13220.00,15599.60,81.54,44.92
012609001844,,HO,WESTERN,RANGI SARI (SOR),CHANIYA,1148,CHANIYA,620419,RANGI SARI - BY DHARA SHETH,,SET-01-CHAN,.,FS,1,29500,INWARD CHALLAN,00005,9/9/2026,20000.00,20000.00,23600.00,47.50,32.20
